orden_id,producto,turno,horas_maquina,materia_prima,margen,demanda,retraso_horas
522,A,Mañana,1.93,0.97,37.31,24,1.81
523,B,Noche,1.08,2.03,29.91,48,0.00
524,A,Noche,1.91,1.00,38.58,33,1.67
525,A,Tarde,2.12,0.90,40.17,29,1.32
526,B,Mañana,1.19,2.03,30.30,51,0.50
527,A,Mañana,1.92,0.97,41.34,45,1.73
528,B,Noche,1.26,2.02,27.28,41,3.52
529,C,Mañana,2.89,1.56,50.09,51,1.49
530,B,Noche,1.29,1.98,30.59,30,0.52
531,B,Noche,1.22,1.98,31.68,45,3.92
532,C,Noche,2.87,1.64,53.57,27,1.58
533,C,Tarde,2.69,1.66,52.48,18,0.00
534,A,Tarde,2.02,0.96,41.63,41,0.00
535,A,Mañana,2.12,0.92,42.04,35,0.00
536,A,Tarde,1.97,1.01,42.63,23,2.27
537,C,Tarde,2.70,1.63,51.74,10,2.56
538,C,Tarde,2.70,1.54,52.37,30,0.96
539,C,Mañana,2.75,1.63,54.45,14,0.00
540,C,Mañana,2.85,1.61,49.10,27,0.00
541,A,Tarde,2.14,1.08,37.71,41,2.80
542,C,Tarde,2.75,1.61,54.09,31,2.60
543,B,Noche,1.25,1.99,28.60,49,0.66
544,B,Tarde,1.17,1.91,31.98,57,1.16
545,B,Mañana,1.25,2.04,27.87,51,2.71
546,C,Tarde,2.94,1.65,50.51,27,2.10
547,C,Mañana,2.72,1.66,50.86,13,0.88
548,A,Mañana,2.10,0.93,41.51,45,1.01
549,C,Tarde,2.83,1.68,51.34,28,0.99
550,B,Noche,1.11,1.92,28.16,36,0.29
551,A,Mañana,2.13,0.98,37.34,32,0.51
552,C,Noche,2.67,1.65,49.33,20,2.61
553,C,Noche,2.71,1.62,51.66,21,2.54
554,C,Tarde,2.72,1.56,49.10,16,1.05
555,B,Tarde,1.10,2.04,29.69,53,2.17
556,B,Noche,1.09,1.93,27.12,51,0.00
557,B,Noche,1.24,1.99,29.31,52,2.36
558,C,Noche,2.67,1.66,49.14,36,1.23
559,B,Mañana,1.34,1.94,29.72,51,1.43
560,B,Tarde,1.26,1.93,29.07,51,0.83
561,C,Mañana,2.79,1.54,54.98,35,0.00
562,A,Noche,1.90,0.98,38.31,20,3.42
563,C,Tarde,2.69,1.60,52.44,22,1.63
564,A,Tarde,1.87,1.03,38.78,33,1.47
565,A,Noche,1.95,0.93,39.37,12,1.84
566,A,Tarde,1.93,1.10,38.42,35,2.09
567,A,Tarde,1.99,0.92,37.85,20,1.61
568,C,Noche,2.70,1.54,49.08,26,2.66
569,B,Noche,1.21,1.94,30.77,46,5.56
570,B,Mañana,1.22,1.97,31.98,50,0.00
571,B,Mañana,1.28,2.07,28.39,50,0.00
572,A,Noche,1.90,1.04,38.91,39,2.30
573,B,Noche,1.06,2.06,30.53,46,0.54
574,C,Mañana,2.79,1.64,51.42,30,0.58
575,B,Noche,1.28,1.93,31.75,47,2.18
576,C,Mañana,2.68,1.67,50.08,20,0.03
577,A,Mañana,2.15,1.04,40.96,41,1.13
578,B,Mañana,1.26,1.98,27.90,58,1.96
579,A,Mañana,2.14,0.93,40.41,47,0.51
580,A,Noche,2.03,1.05,38.61,24,2.98
581,B,Noche,1.31,2.09,27.76,61,0.67
582,A,Noche,2.06,0.95,42.05,22,3.07
583,C,Noche,2.73,1.69,52.89,21,4.05
584,C,Noche,2.80,1.63,52.88,23,3.71
585,C,Noche,2.79,1.66,54.48,22,0.58
586,B,Mañana,1.12,2.01,29.69,38,1.26
587,C,Mañana,2.66,1.62,50.65,28,0.00
588,A,Noche,2.04,1.09,39.97,26,1.80
589,A,Noche,2.02,0.99,39.98,42,0.00
590,A,Tarde,2.00,0.94,42.97,45,1.51
591,B,Noche,1.21,1.98,28.12,43,1.32
592,A,Noche,1.93,0.91,42.37,17,5.82
593,B,Noche,1.24,2.04,30.42,52,2.25
594,B,Noche,1.10,2.05,32.11,47,3.05
595,C,Tarde,2.79,1.58,49.84,30,0.00
596,A,Noche,1.92,1.09,41.10,32,0.00
597,B,Mañana,1.31,1.94,32.76,64,0.00
598,B,Tarde,1.10,1.92,31.08,43,2.63
599,B,Noche,1.35,2.00,32.48,45,2.86
600,C,Mañana,2.77,1.62,54.21,26,2.81
